Job Opening ID,Featured Jobs,Remote,Posting Date,Title,Company,Industry,Job Type,Salary,Location,City,State,Zip Code,Country,Full Address,Latitude,Longitude,Job Discription,Job Details Link,Send Applications to  (Email/URL),Company Logo,Status
RH105409,Yes,Yes,11/18/21,General Manager,Cannaclusive,Wellness,Full-Time,See Details,Remote,Remote,,,United States,Remote Remote IL  United States,40.64,-89.3985283,We’re looking for a self-starter who will drive initiatives with minimal supervision and prioritize high-impact work. Your aptitude to learn new skills and solve challenging problems enables you to thrive in an entrepreneurial environment that requires comfort with the unexpected. Your ability to play well with others informs everything you do.,https://docs.google.com/document/d/18chVf7atb8L9kTYRm7_dIBQrK-yPNeJd4bVVVBQ8LfA/edit,,https://drive.google.com/uc?export=view&id=14mBXROMv_5V4bGAPuveW5EOxKD0UaUPw,200
RH105408,Yes,Yes,11/19/21,Social Media Associate Job Description,Cannaclusive,Wellness,Part-Time,See Details,Remote,Remote,,,United States,Remote OH  United States,39.99601921,-82.96337055,"As Cannaclusive's Social Media Associate you will aid with driving brand awareness, creating informative and eye catching content, and interacting with varied audience members across all social media platforms we utilize.",https://docs.google.com/document/d/1t7XW6hFyzxJPXOAyoHyEQY3nHhTud1ILIofo3p1ntrU/edit#,,https://drive.google.com/uc?export=view&id=14mBXROMv_5V4bGAPuveW5EOxKD0UaUPw,200
RH105407,Yes,,11/20/21,FIELD MARKETING ASSOCIATE ,Cannaclusive,Wellness,Full-Time,See Details,"Boston, MA",Boston,MA,,United States,"Boston, MA Boston MA  United States",42.3,-71.0588801,"In every region Cann operates, there’s a local team at the heart of it. As a Cann Field Marketing Coordinator, you will be the hyper-local face to an increasingly national brand. The Field Marketing Coordinator supports the Director of Field Marketing in building brand awareness and a strong",https://docs.google.com/document/d/1yhLhxgsapfKre7g5Qq2gDqwdohuV4qRhBL3jyoBF0Eg/edit,,https://drive.google.com/uc?export=view&id=14mBXROMv_5V4bGAPuveW5EOxKD0UaUPw,200
RH105405,Yes,,11/22/21,FIELD MARKETING ASSOCIATE ,Cannaclusive,Wellness,Full-Time,See Details,"Las Vegas, NV",Las Vegas,NV,,United States,"Las Vegas, NV Las Vegas NV  United States",36.1,-115.1398296,"In every region Cann operates, there’s a local team at the heart of it. As a Cann Field Marketing Coordinator, you will be the hyper-local face to an increasingly national brand. The Field Marketing Coordinator supports the Director of Field Marketing in building brand awareness and a strong ",https://docs.google.com/document/d/1yhLhxgsapfKre7g5Qq2gDqwdohuV4qRhBL3jyoBF0Eg/edit,,https://drive.google.com/uc?export=view&id=14mBXROMv_5V4bGAPuveW5EOxKD0UaUPw,200
RH105404,Yes,Yes,11/23/21,Account Manager,Cannaclusive,Wellness,Full-Time,See Details,Remote,Remote,,,United States,Remote Remote IL  United States,40.63,-89.3985283,We’re looking for a self-starter who will drive initiatives with minimal supervision and prioritize high impact work. Your aptitude to learn new skills and solve challenging problems enables you to thrive in an entrepreneurial environment that requires comfort with the unexpected. Your ability to play well with others informs everything you do.,https://docs.google.com/document/d/1Y2m6N17JUF5s-mM6xkEh83yYD7gfXUCAH8QlleB9VL0/edit,,https://drive.google.com/uc?export=view&id=14mBXROMv_5V4bGAPuveW5EOxKD0UaUPw,200
RH105403,Yes,Yes,11/24/21,Sr. Director  ,Cannaclusive,Wellness,Full-Time,See Details,Remote,Remote,,,United States,Remote Remote AZ  United States,34.0489281,-111.0937311,"We’re looking for a self-starter who will drive initiatives with minimal supervision and prioritize high-impact work. Your aptitude to learn new skills and solve challenging problems enables you to thrive in an entrepreneurial environment that requires comfort with the unexpected. Your ability to play well with others informs everything you do.
",https://docs.google.com/document/d/1O6iVTzwb4apbRrsNWGBVdRBQfDJ6NNe6Cy9VQei6TOk/edit,,https://drive.google.com/uc?export=view&id=14mBXROMv_5V4bGAPuveW5EOxKD0UaUPw,200
RH105402,Yes,Yes,11/25/21,Territory Manager  ,Cannaclusive,Wellness,Full-Time,See Details,Remote,Remote,,,United States,Remote Remote MA  United States,42.4072107,-71.3824374,We’re looking for a self-starter who will drive initiatives with minimal supervision and prioritize high impact work. Your aptitude to learn new skills and solve challenging problems enables you to thrive in an entrepreneurial environment that requires comfort with the unexpected. Your ability to play well with others informs everything you do.,https://docs.google.com/document/d/1w1jod7hq1DmRibSKsrSupZeHYBPNeWFYcZyZBK4FKIc/edit,,https://drive.google.com/uc?export=view&id=14mBXROMv_5V4bGAPuveW5EOxKD0UaUPw,200
,,,12/28/21,Automated Packaging Associate (PM Shift),4 Front,Wellness,,,"Georgetown, MA",,,,United States,"Georgetown, MA    United States",39.7392358,-104.990251,,http://jobviewtrack.com/en-gb/job-4f4f416548050b6c60064f140d136f5f551745/5c598e4301a07cbe87ff4261634010a9.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,301
,,,12/31/21,Pharmacy Technician,4 Front,Wellness,,,"Fairfax, VA",,,,United States,"Fairfax, VA    United States",42.5792027,-84.4435845,,http://jobviewtrack.com/en-gb/job-4b1f417d45051d03461759433c040d0f0b491701081d287f584e450a060d4e154e6138090f15084117116841181a0819/e0019974a0615303ff865d8c717dd8bd.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,301
,,,12/16/21,Chief Financial Officer,Advanced Nutrients,Wellness,,,"West Hollywood, CA",,,,United States,"West Hollywood, CA    United States",34.0900091,-118.3617443,,http://jobviewtrack.com/en-gb/job-1218416e450d0a080732490d090f0d0e044c54270f154348585f2f2707074212002c0e0707040052762b011a4f4d1d6b440a0e00441d410f6a270709044e1701081f0a645b4b44070a1c2532490d090f0d0e044c755f504213/05d689256288c2d28642f2fbe1e0d88d.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,301
